Name,Reference,CPU,GPU,RAM,Storage,Refresh screen,Color,Price,Garentie,Availability
Pc Portable Gamer Lenovo LOQ 15IAX9 ,[83GS00UBFG-2Y-16], I5-12600HX , RTX 3050 6G , 16 Go DDR5 , 512 Go SSD ,antireflet, Windows 11 ,"2 829,000 DT",2,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-24], Intel Core 5 210H , RTX 3050 6G , 24 Go DDR5 , 512 Go SSD ,144 Hz, Noir,"2 829,000 DT",1,En stock
Pc Portable Gamer Dell Alienware 16 Aurora ,[AC162506RPHR005], Core 5 210H , RTX 3050 6G , 16 Go DDR5 , 512 Go SSD ,N/A, Bleu,"2 839,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3257XFR-16], I7-13620H , RTX 3050 6G , 16 Go , 512 Go SSD ,144 Hz, Gris,"2 839,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-24-W11P-SS], Intel Core 5 210H , RTX 3050 6G , 24 Go DDR5 , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 839,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NFR ,[BU-FA506NFR-HN005W-24], Ryzen 7 7435HS , RTX 2050 4G , 24 Go , 512 Go SSD ,N/A, Windows 11 ,"2 849,000 DT",1,En stock
Portable Gaming HP Victus Gaming 15-Fa2029nk ,[C65BCEA-32], I7-13620H , RTX 2050 4G , 32 Go , 512 Go SSD ,IPS, Windows 11 ,"2 849,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NFR ,[FA506NFR-HN005W-24], Ryzen 7 7435HS , RTX 2050 4G , 24 Go , 512 Go SSD ,N/A, Windows 11 ,"2 849,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VU ,[V3607VU-RP196W], Intel Core 5 210H , RTX 4050 6G , 16 Go DDR5 , 512 Go SSD ,144 Hz, Noir,"2 869,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-32-SS], I7-13620H , RTX 2050 4G , 32 Go , 512 Go SSD ,144 Hz, Gris Cosmos,"2 869,000 DT",1,En stock
Pc Portable Dell Gaming G15 5535 ,[G15-5535-R51TSSD-3Y-24], Ryzen 5 7640HS , 24 Go , 1 To SSD , RTX 3050 6G ,N/A, Windows 11,"2 879,000 DT",3,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-24-W11P], Intel Core 5 210H , RTX 3050 6G , 24 Go DDR5 , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 879,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3258XFR-32], I5-13420H , RTX 3050 6G , 32 Go , 512 Go SSD ,144 Hz, Gris,"2 899,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-32], I7-13620H , RTX 2050 4G , 32 Go , 512 Go SSD ,144 Hz, Gris Cosmos Sac À Dos MSI Offert,"2 919,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3257XFR-16-W11P], I7-13620H , RTX 3050 6G , 16 Go , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 919,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fb3008nk ,[C65BFEA-24], Ryzen 5 8645HS , 24 Go DDR5 , 512 Go SSD , Windows 11 ,IPS, Noir,"2 919,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 16-R1004nk ,[AG2M2EA-24], I5-14450HX , RTX 3050 6G , 24 Go DDR5 , 512 Go SSD ,IPS, Windows 11 ,"2 939,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 16-R1004nk ,[BU-AG2M2EA-24], I5-14450HX , RTX 3050 6G , 24 Go DDR5 , 512 Go SSD ,IPS, Windows 11 ,"2 939,000 DT",1,En stock
Pc Portable Gamer Lenovo LOQ 15IAX9 ,[83GS00SKFG-2Y-32], I5-12450HX , RTX 2050 4G , 32 Go DDR5 , 512 Go SSD ,antireflet, Windows 11 ,"2 949,000 DT",2,En stock
Pc Portable Gamer MSI Cyborg 15 A13V ,[A13VE-1494XFR], I5-13420H , RTX 4050 6G , 8 Go DDR5 , 512 Go SSD ,144 Hz, Noir,"2 959,000 DT",1,En stock
